le2m | 19/12/2015 - 10:22:57 | INFO | Dim-Latitude-E6520 (j0) Ready for period 1
le2m | 19/12/2015 - 10:22:57 | INFO | Dim-Latitude-E6520 (j2) Ready for period 1
le2m | 19/12/2015 - 10:22:57 | INFO | Dim-Latitude-E6520 (j3) Ready for period 1
le2m | 19/12/2015 - 10:22:57 | INFO | Dim-Latitude-E6520 (j1) Ready for period 1
le2m | 19/12/2015 - 10:22:57 | INFO | run_step: Décision
le2m | 19/12/2015 - 10:22:57 | INFO | DÉCISION
le2m | 19/12/2015 - 10:22:57 | INFO | Dim-Latitude-E6520 (j2): 4
le2m | 19/12/2015 - 10:22:57 | INFO | Dim-Latitude-E6520 (j3): 0
le2m | 19/12/2015 - 10:22:57 | INFO | Dim-Latitude-E6520 (j1): 7
le2m | 19/12/2015 - 10:29:31 | INFO | Dim-Latitude-E6520 (j0): 5
le2m | 19/12/2015 - 10:29:31 | INFO | Ok Décision
le2m | 19/12/2015 - 10:29:31 | INFO | Somme des décisions
le2m | 19/12/2015 - 10:29:31 | INFO | G0: 16
le2m | 19/12/2015 - 10:29:31 | INFO | Calcul des gains de la période pour la partie CommonPoolResource
le2m | 19/12/2015 - 10:29:31 | INFO | GAINS
le2m | 19/12/2015 - 10:29:31 | INFO | Dim-Latitude-E6520 (j2): 37.2
le2m | 19/12/2015 - 10:29:31 | INFO | Dim-Latitude-E6520 (j3): 25.2
le2m | 19/12/2015 - 10:29:31 | INFO | Dim-Latitude-E6520 (j0): 40.2
le2m | 19/12/2015 - 10:29:31 | INFO | Dim-Latitude-E6520 (j1): 46.2
le2m | 19/12/2015 - 10:29:31 | INFO | run_step: Récapitulatif
le2m | 19/12/2015 - 10:29:31 | INFO | RÉCAPITULATIF
le2m | 19/12/2015 - 10:29:31 | INFO | Dim-Latitude-E6520 (j2): Ok
le2m | 19/12/2015 - 10:29:31 | INFO | Dim-Latitude-E6520 (j3): Ok
le2m | 19/12/2015 - 10:29:31 | INFO | Dim-Latitude-E6520 (j1): Ok
le2m | 19/12/2015 - 10:33:12 | INFO | Dim-Latitude-E6520 (j0): Ok
le2m | 19/12/2015 - 10:33:12 | INFO | Ok Récapitulatif
le2m | 19/12/2015 - 10:33:12 | INFO | Moyenne de la période
le2m | 19/12/2015 - 10:33:12 | INFO | 201512191008_g_0    4
le2m | 19/12/2015 - 10:33:12 | INFO | Période 2
le2m | 19/12/2015 - 10:33:12 | INFO | Période 2
le2m | 19/12/2015 - 10:33:12 | INFO | run_func: newperiod
le2m | 19/12/2015 - 10:33:12 | INFO | Dim-Latitude-E6520 (j0) Ready for period 2
le2m | 19/12/2015 - 10:33:12 | INFO | Dim-Latitude-E6520 (j2) Ready for period 2
le2m | 19/12/2015 - 10:33:12 | INFO | Dim-Latitude-E6520 (j3) Ready for period 2
le2m | 19/12/2015 - 10:33:12 | INFO | Dim-Latitude-E6520 (j1) Ready for period 2
le2m | 19/12/2015 - 10:33:12 | INFO | run_step: Décision
